EVENT,FIGHTER A VS FIGHTER B,OUTCOME (FIGHTER A/FIGHTER B),WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL,FIGHTER_A,FIGHTER_B,Fighter_a,ELO_Score_a,Average_SoO_Score_a,Ultimate_Score_a,ELO_Score_b,Average_SoO_Score_b,Ultimate_Score_b,Height_A,Weight_A,Reach_A,Height_B,Weight_B,Reach_B,Height_Differential,Reach_Differential,Height_Reach_Ratio_A,Height_Reach_Ratio_B
UFC 310: Pantoja vs. Asakura ,Alexandre Pantoja  vs. Kai Asakura ,W/L,UFC Flyweight Title Bout,Submission ,2,2:05,5 Rnd (5-5-5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/e761c5009c09b295,alexandre pantoja,kai asakura,alexandre pantoja,1.807370757,1533.147544,1.712864163,,,,-1.499878472,56.7,-1.195098865,,,,,,-0.179354012,
UFC 310: Pantoja vs. Asakura ,Shavkat Rakhmonov  vs. Ian Machado Garry ,W/L,Welterweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 47 - 48.Chris Lee 47 - 48.Ron McCarthy 47 - 48.,http://ufcstats.com/fight-details/1569186ee820ea87,shavkat rakhmonov,ian machado garry,shavkat rakhmonov,1.312526417,1562.691453,1.654882088,1.289351963,1500.737865,0.987495871,0.760517868,77.11,1.140980473,,,,,,-1.038591101,
UFC 310: Pantoja vs. Asakura ,Ciryl Gane  vs. Alexander Volkov ,W/L,Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 28 - 29.Eric Colon 29 - 28.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/f706508c52f337a6,ciryl gane,alexander volkov,ciryl gane,1.63704401,1531.137099,1.562903036,1.519126678,1526.050231,1.430740801,1.608166495,111.13,2.075412209,2.49037455,113.4,1.91207433,-1.172494629,0.278182885,-1.418892377,0.44700282
UFC 310: Pantoja vs. Asakura ,Bryce Mitchell  vs. Kron Gracie ,W/L,Featherweight Bout,KO/TKO ,3,0:39,3 Rnd (5-5-5),Keith Peterson,Elbows to Head From Guard ,http://ufcstats.com/fight-details/0292b9c31c0089ac,bryce mitchell,kron gracie,bryce mitchell,1.100835918,1507.376871,0.904749696,-0.586400535,1488.496331,-0.521745683,-0.087130759,65.77,-0.494275063,-0.369039884,65.77,-0.46876771,0.374095269,-0.027111235,0.981369775,0.377443554
UFC 310: Pantoja vs. Asakura ,Vicente Luque  vs. Themba Gorimbo ,W/L,Welterweight Bout,Submission ,1,0:52,3 Rnd (5-5-5),Mark Smith,Anaconda Choke On Ground ,http://ufcstats.com/fight-details/4914f7bd073c6359,vicente luque,themba gorimbo,vicente luque,1.76039018,1548.361347,1.839811094,0.577411438,1502.558177,0.484826095,0.195418783,77.11,0.673764606,0.77472589,77.11,1.197821718,-0.785847155,-0.637699474,-1.092456724,-1.089624609
UFC 310: Pantoja vs. Asakura ,Movsar Evloev  vs. Aljamain Sterling ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/df30514e0674d598,movsar evloev,aljamain sterling,,,,,2.272851688,1556.075888,2.309597777,-0.934779387,65.77,-0.027059196,-0.940922771,61.23,-0.230683506,-0.012552206,0.278182885,-1.718925146,-1.260628183
UFC 310: Pantoja vs. Asakura ,Randy Brown  vs. Bryan Battle ,L/W,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 29 - 28.Adalaide Byrd 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/7c0d0a28a8fba102,randy brown,bryan battle,randy brown,1.272617167,1539.314945,1.375253619,1.260431056,1503.354859,0.994667933,1.325616953,77.11,1.374588407,0.77472589,77.11,1.197821718,0.760742743,0.278182885,-0.514178181,-1.089624609
UFC 310: Pantoja vs. Asakura ,Chris Weidman  vs. Eryk Anders ,L/W,Catch Weight Bout,KO/TKO ,2,4:51,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground ,http://ufcstats.com/fight-details/0f16d83859d608c7,chris weidman,eryk anders,chris weidman,1.204717132,1551.272749,1.451663702,-0.266806794,1478.30463,-0.397807708,1.04306741,83.91,1.374588407,0.77472589,83.91,0.72165331,0.374095269,0.888771124,-1.012694167,-0.104834026
UFC 310: Pantoja vs. Asakura ,Michael Chiesa  vs. Max Griffin ,W/L,Welterweight Bout,Submission ,3,1:56,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/a5c57b0f49e9f61c,michael chiesa,max griffin,michael chiesa,1.023420125,1548.911703,1.289683835,-0.517726558,1493.135629,-0.421016939,0.760517868,77.11,0.673764606,0.202843003,77.11,0.959737514,0.760742743,-0.332405354,-0.055543475,-1.628792127
UFC Fight Night: Yan vs. Figueiredo ,Petr Yan  vs. Deiveson Figueiredo ,W/L,Bantamweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Mike Beltran,Sal D'amato 45 - 50.David Lethaby 45 - 50.Clemens Werner 45 - 50.,http://ufcstats.com/fight-details/f53573316a4f349f,petr yan,deiveson figueiredo,petr yan,1.200817371,1570.41033,1.652994777,1.883184345,1549.680343,1.954269882,-0.934779387,61.23,-1.195098865,-1.512805657,61.23,-0.944936118,0.760742743,-0.332405354,0.981369775,-0.784605366
UFC Fight Night: Yan vs. Figueiredo ,Yan Xiaonan  vs. Tabatha Ricci ,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Sal D'amato 27 - 30.Mark Collett 27 - 30.Vito Paolillo 27 - 30.,http://ufcstats.com/fight-details/f0c4aff7dd1ec4e9,yan xiaonan,tabatha ricci,yan xiaonan,1.275374731,1517.302209,1.142371604,0.639942484,1520.374828,0.724020246,-1.499878472,52.16,-2.1295306,-2.656571431,52.16,-2.611525546,1.534037692,0.583477004,2.21579031,0.933917684
UFC Fight Night: Yan vs. Figueiredo ,Volkan Oezdemir  vs. Carlos Ulberg ,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Mark Christie 27 - 30.Vito Paolillo 27 - 30.Evan Field 28 - 29.,http://ufcstats.com/fight-details/02ec66f311dce539,volkan oezdemir,carlos ulberg,volkan oezdemir,-0.139550294,1517.010033,0.071773029,1.329385796,1476.051457,0.74902728,1.04306741,92.99,0.673764606,1.63255022,92.99,1.197821718,-0.785847155,-0.637699474,0.46291315,0.428032111
UFC 309: Jones vs. Miocic ,Jon Jones  vs. Stipe Miocic ,W/L,UFC Heavyweight Title Bout,KO/TKO ,3,4:29,5 Rnd (5-5-5-5-5),Herb Dean,Spinning Back Kick Body ,http://ufcstats.com/fight-details/b35e47f2f58ef026,jon jones,stipe miocic,jon jones,4.02159007,1546.040102,3.52098009,1.960698103,1543.954699,1.949026554,1.608166495,112.49,2.77623601,1.63255022,108.86,1.91207433,-0.012552206,1.194065243,-2.721891831,-1.013741773
UFC 309: Jones vs. Miocic ,Charles Oliveira  vs. Michael Chandler ,W/L,Lightweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Keith Peterson,Eric Colon 46 - 49.Junichiro Kamijo 46 - 49.Ron McCarthy 45 - 49.,http://ufcstats.com/fight-details/4f4189009a190e35,charles oliveira,michael chandler,charles oliveira,1.648831047,1544.407853,1.713446773,-0.911634919,1597.898506,0.426601926,-0.087130759,70.31,0.440156672,-0.654981327,70.31,-0.230683506,0.760742743,0.888771124,-1.120481407,-0.711991716
UFC 309: Jones vs. Miocic ,Jim Miller  vs. Damon Jackson ,W/L,Lightweight Bout,Submission ,1,2:44,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke After Drop to Guard ,http://ufcstats.com/fight-details/35c8223cc967fe0a,jim miller,damon jackson,jim miller,1.15053259,1518.855775,1.064768015,-0.187557509,1504.125591,-0.059499713,-0.652229844,70.31,-0.260667129,0.202843003,65.77,-0.230683506,-1.172494629,-0.027111235,-0.661626571,0.933917684
UFC Fight Night: Magny vs. Prates ,Neil Magny  vs. Carlos Prates ,L/W,Welterweight Bout,KO/TKO ,1,4:50,5 Rnd (5-5-5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/73f451d894a1d4ca,neil magny,carlos prates,neil magny,1.630495173,1546.249532,1.719271377,,,,1.325616953,77.11,1.841804275,0.77472589,77.11,1.435905922,0.760742743,0.583477004,-1.448895654,-1.563081619
UFC Fight Night: Magny vs. Prates ,Elizeu Zaleski dos Santos  vs. Zachary Scroggin ,W/L,Welterweight Bout,KO/TKO ,1,1:15,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground ,http://ufcstats.com/fight-details/c9d2a718f39274c0,elizeu zaleski dos santos,zachary scroggin,elizeu zaleski dos santos,1.548282877,1536.585576,1.554094508,,,,0.195418783,77.11,0.206548738,,,,,,-0.083952057,
UFC Fight Night: Moreno vs. Albazi ,Brandon Moreno  vs. Amir Albazi ,W/L,Flyweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Eric Colon 46 - 49.Sal D'amato 45 - 50.Derek Cleary 45 - 50.,http://ufcstats.com/fight-details/799acf3ae8a5df0a,brandon moreno,amir albazi,brandon moreno,1.048055752,1553.153097,1.353542362,0.971241041,1481.648107,0.546944784,-0.934779387,56.7,-0.494275063,-1.512805657,56.7,-0.944936118,0.760742743,0.583477004,-0.685097948,-0.784605366
UFC Fight Night: Moreno vs. Albazi ,Erin Blanchfield  vs. Rose Namajunas ,W/L,Women's Flyweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,Junichiro Kamijo 47 - 48.Mike Bell 47 - 48.Derek Cleary 47 - 48.,http://ufcstats.com/fight-details/18729b11614406bf,erin blanchfield,rose namajunas,erin blanchfield,1.373056764,1534.754324,1.402349793,1.018964544,1541.437992,1.230679019,-1.782428014,56.7,-1.428706798,-1.512805657,56.7,-1.65918873,-0.39919968,0.278182885,-0.196940736,0.933917684
UFC Fight Night: Hernandez vs. Pereira ,Darren Elkins  vs. Daniel Pineda ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge 28 - 29.Junichiro Kamijo 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/0599f35e6679de02,darren elkins,daniel pineda,darren elkins,1.552811196,1526.221418,1.446884556,-1.029952764,1471.682003,-1.029657024,-0.087130759,65.77,-0.260667129,-0.940922771,65.77,-0.706851914,1.147390218,0.583477004,0.433704326,-0.195160262
UFC Fight Night: Royval vs. Taira ,Brandon Royval  vs. Tatsuro Taira ,W/L,Flyweight Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Chris Lee 47 - 48.Sal D'amato 48 - 47.Ron McCarthy 47 - 48.,http://ufcstats.com/fight-details/998bde5639c61adb,brandon royval,tatsuro taira,brandon royval,0.731193286,1527.60616,0.841801522,1.329034614,1494.349402,0.947300618,-0.369680302,56.7,-0.961490931,-0.940922771,56.7,-0.46876771,0.760742743,-0.637699474,1.553196934,-0.735504707
UFC Fight Night: Royval vs. Taira ,Brad Tavares  vs. JunYong Park ,L/W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),,Junichiro Kamijo 29 - 28.Mike Bell 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/6fa2dae90bda4742,brad tavares,junyong park,brad tavares,1.089216069,1546.26087,1.311028308,0.557501691,1492.421214,0.360231239,0.760517868,83.91,0.440156672,-0.083098441,83.91,0.245484902,1.147390218,0.278182885,0.455906979,-0.666898308
UFC Fight Night: Royval vs. Taira ,Brad Tavares  vs. JunYong Park ,L/W,Middleweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),,Junichiro Kamijo 29 - 28.Mike Bell 28 - 29.Eric Colon 28 - 29.,http://ufcstats.com/fight-details/6fa2dae90bda4742,brad tavares,junyong park,brad tavares,1.089216069,1546.26087,1.311028308,0.023043533,1484.770878,-0.114958131,0.760517868,83.91,0.440156672,-0.083098441,83.91,0.245484902,1.147390218,0.278182885,0.455906979,-0.666898308
UFC Fight Night: Royval vs. Taira ,Grant Dawson  vs. Rafa Garcia ,W/L,Lightweight Bout,KO/TKO ,2,1:42,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Back Control ,http://ufcstats.com/fight-details/98c29ba02cee5ba3,grant dawson,rafa garcia,grant dawson,2.046584645,1526.183685,1.819005574,-0.401365387,1476.98545,-0.510859426,-0.087130759,70.31,-0.027059196,-0.940922771,70.31,-0.46876771,1.147390218,0.583477004,-0.098748193,-0.735504707
